onset	duration	character	arousal	valence_positive	valence_negative	c_audio	c_context	c_face	c_gesture	c_narrator	c_verbal	d_other	d_self	e_admiration	e_anger/rage	e_contempt	e_disappointment	e_fear	e_fears_confirmed	e_gloating	e_gratification	e_gratitude	e_happiness	e_happy-for	e_hate	e_hope	e_love	e_pity/compassion	e_pride	e_relief	e_remorse	e_resent	e_sadness	e_satisfaction	e_shame
2.84	2.0	FORREST	-0.555555555556	0.777777777778	0.0	0.0	0.222222222222	0.33333333333299997	0.33333333333299997	0.0	0.444444444444	0.777777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.84	1.0	FORREST	-0.666666666667	0.666666666667	0.0	0.0	0.222222222222	0.33333333333299997	0.33333333333299997	0.0	0.33333333333299997	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.444444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
30.84	2.0	FORREST	-0.666666666667	0.666666666667	0.0	0.0	0.111111111111	0.555555555556	0.222222222222	0.0	0.0	0.111111111111	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333299997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33.84	5.0	FORREST	0.33333333333299997	0.0	0.555555555556	0.0	0.33333333333299997	0.33333333333299997	0.222222222222	0.0	0.0	0.111111111111	0.444444444444	0.0	0.0	0.0	0.0	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35.84	1.0	DAN	0.555555555556	0.0	0.555555555556	0.0	0.0	0.111111111111	0.111111111111	0.0	0.555555555556	0.444444444444	0.111111111111	0.0	0.0	0.0	0.0	0.222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
36.84	12.0	DAN	0.888888888889	0.0	0.888888888889	0.111111111111	0.222222222222	0.222222222222	0.222222222222	0.0	0.777777777778	0.666666666667	0.222222222222	0.0	0.0	0.0	0.0	0.222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38.84	10.0	FORREST	0.444444444444	0.0	0.666666666667	0.111111111111	0.555555555556	0.444444444444	0.222222222222	0.0	0.111111111111	0.222222222222	0.444444444444	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48.84	1.0	BUBBA	0.888888888889	0.0	0.888888888889	0.111111111111	0.33333333333299997	0.555555555556	0.0	0.0	0.666666666667	0.777777777778	0.111111111111	0.0	0.0	0.0	0.0	0.777777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48.84	5.0	DAN	0.777777777778	0.0	0.777777777778	0.111111111111	0.222222222222	0.222222222222	0.33333333333299997	0.0	0.666666666667	0.444444444444	0.33333333333299997	0.0	0.0	0.0	0.0	0.222222222222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48.84	6.0	FORREST	0.33333333333299997	0.0	0.555555555556	0.111111111111	0.444444444444	0.444444444444	0.222222222222	0.0	0.111111111111	0.111111111111	0.444444444444	0.0	0.0	0.0	0.0	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
49.84	1.0	BUBBA	0.666666666667	0.0	0.666666666667	0.111111111111	0.222222222222	0.444444444444	0.0	0.0	0.555555555556	0.555555555556	0.111111111111	0.0	0.0	0.0	0.0	0.555555555556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
