onset	duration	text	kommentar	loc_besch	loc_erw	w_class	function	grammar
14.947	0.5	Schlafsaal		setting_new		NN		
19.647	5.0	die				ART		
24.647	0.2	Männer		male		NN		
24.847	0.1	sind				VAFIN		
24.947	0.2	in				APPR		
25.147	0.5	Unterwäsche		body		NN		
25.647	18.1	jeder#setzt		#	#	#		
43.747	0.2	sei#n		#	#	#		
43.947	0.2	Gewehr		object		NN		
44.147	0.4	zusammen				PTKVZ		
79.647	15.9	Sie				PPER		
95.547	0.3	putzen				VVFIN		
95.847	0.4	Stiefel		object		NN		
96.447	10.5	Sie				PPER		
106.947	0.1	scheuern				VVFIN		
107.047	0.3	den				ART		
107.347	0.3	Boden		roomgeo		NN		
107.647	0.1	mit				APPR		
107.747	0.4	Zahnbürsten		object		NN		
108.147	11.4	es				PPER		
119.547	0.2	ist				VAFIN		
119.747	0.2	dunkel		++		ADJD		
119.947	0.4	Bubba		mname		NE		
120.347	0.2	liegt				VVFIN		
120.547	0.2	wach				ADJD		
120.747	0.0	im				APPRART		
120.747	0.2	Bett		furniture		NN		
120.947	10.8	Forrest		mname		NN		
131.747	0.4	liegt				VVFIN		
132.147	0.3	oben				ADV		
132.447	0.1	im				APPRART		
132.547	0.5	Etagenbett		furniture		NN		
133.047	0.4	sein				PPOSAT		
133.447	0.2	Nachbar		person		NN		
133.647	0.3	wirft				VVFIN		
133.947	0.2	ihm				PPER		
134.147	0.2	einem				ART		
134.347	0.2	Playboy		object		NN		
134.547	0.4	zu				PTKVZ		
139.647	1.3	Forrest#schaut		#	#	#		
140.947	0.3	in				APPR		
141.247	0.0	die				ART		
141.247	0.4	Zeitschrift		object		NN		
141.647	0.4	und				KON		
142.047	0.4	blättert				VVFIN		
142.447	0.2	um				PTKVZ		
142.647	2.2	auf				APPR		
144.847	0.3	einem				ART		
145.147	0.3	Bild		object		NN		
145.447	0.4	kniet				VVFIN		
145.847	0.5	Jenny		fname		NE		
146.347	0.4	nur				ADV		
146.747	0.1	in				APPR		
146.847	0.2	weit				ADJD		
147.047	0.4	aufgeknöpfter				ADJA		
147.847	0.6	College-Jacke		body		NN		
148.447	1.6	ungläubig				ADJD		
150.047	0.4	starrt				VVFIN		
150.447	0.5	Forrest		mname		NN		
150.947	0.2	auf				APPR		
151.147	0.1	das				ART		
151.247	0.3	Foto		object		NN		
151.547	10.0	Bab#y		#	#	#		
161.547	1.0	Er				PPER		
162.547	1.2	kommt				VVFIN		
163.747	0.1	in				APPR		
163.847	0.2	einem				ART		
164.047	0.2	Club		setting_new		NN		
164.247	10.0	zwischen				APPR		
174.247	0.5	Portraits		object		NN		
174.747	0.2	eines				ART		
174.947	0.4	von				APPR		
175.347	0.2	Jenny		fname		NN		
175.547	19.8	der				ART		
195.347	0.4	Vorhang		roomgeo		NN		
195.747	0.1	öffnet				VVFIN		
195.847	0.4	sich				PRF		
196.247	1.1	Jenny		fname		NE		
197.347	0.3	sitzt				VVFIN		
197.647	0.2	mit				APPR		
197.847	0.1	einer				ART		
197.947	0.4	großen				ADJA		
198.347	0.4	Gitarre		object		NN		
198.747	0.1	auf				APPR		
198.847	0.1	einem				ART		
198.947	0.3	Barhocker		furniture		NN		
199.547	2.9	das				ART		
202.447	0.3	Instrument		object		NN		
202.747	0.5	verdeckt				VVFIN		
203.247	0.3	Brust		body		NN		
203.547	0.2	und				KON		
203.747	0.2	Schoß		body		NN		
203.947	3.9	sie				PPER		
207.847	0.3	trägt				VVFIN		
208.147	0.2	nur				ADV		
208.347	0.2	einen				ART		
208.547	0.4	hautfarbenen				ADJA		
208.947	0.6	Slip		body		NN		
209.547	18.9	Männer		male		NN		
228.447	13.2	ein				ART		
241.647	0.2	Mann		male		NN		
241.847	0.4	will				VMFIN		
242.247	0.1	ihr				PPER		
242.347	0.3	einen				ART		
242.647	0.3	Geldschein		object		NN		
242.947	0.2	in				APPR		
243.147	0.2	den				ART		
243.347	0.2	Pumps		object		NN		
243.547	0.2	stecken				VVINF		
243.747	2.5	Sie				PPER		
246.247	0.2	tritt				VVFIN		
246.447	0.2	seine				PPOSAT		
246.647	0.2	Hand		bodypart		NN		
246.847	2.9	weg#er#schüttet		#	#	#		
249.747	0.2	sein				PPOSAT		
249.947	0.2	Bier		object		NN		
250.147	0.3	über				APPR		
250.447	0.2	ihre				PPOSAT		
250.647	0.3	Füße		bodypart		NN		
250.947	6.1	Forrest		mname		NN		
257.047	0.4	marschiert				VVFIN		
257.447	0.1	mit				APPR		
257.547	0.5	grimmiger				ADJA		
258.047	0.1	Miene		face		NN		
258.147	0.6	nach#vorn		#	#	#		
259.547	0.3	Er				PPER		
259.847	0.2	packt				VVFIN		
260.047	0.2	den				ART		
260.247	0.1	Mann		male		NN		
260.347	0.2	von				APPR		
260.547	0.1	hinten				ADV		
260.647	0.4	und				KON		
261.047	0.3	stößt				VVFIN		
261.347	0.1	ihn				PPER		
261.447	0.1	zu				APPR		
261.547	0.2	Boden				NN		
261.747	2.1	er				PPER		
263.847	0.3	schubst				ADV		
264.147	0.1	noch				ADV		
264.247	0.3	einen				PIS		
264.547	0.1	um				PTKVZ		
264.647	2.0	er				PPER		
266.647	0.2	steigt				VVFIN		
266.847	0.1	auf				APPR		
266.947	0.2	die				ART		
267.147	0.2	Bühne		roomgeo		NN		
267.347	1.9	und				KON		
269.247	0.2	hebt				VVFIN		
269.447	0.1	sie				PPER		
269.547	0.1	hoch				PTKVZ		
269.647	2.7	er				PPER		
272.347	0.2	tut				VVFIN		
272.547	0.1	es				PPER		
272.647	1.1	sie				PPER		
273.747	0.3	drückt				VVFIN		
274.047	0.1	ihm				PPER		
274.147	0.1	die				ART		
274.247	0.4	Gitarre		object		NN		
274.647	0.1	in				APPR		
274.747	0.0	die				ART		
274.747	0.3	Hand		bodypart		NN		
275.047	0.0	und				KON		
275.047	0.4	eilt				VVFIN		
275.447	0.1	von				APPR		
275.547	0.1	der				ART		
275.647	0.3	Bühne		roomgeo		NN		
275.947	0.6	Forrest		mname		NN		
276.547	0.3	hetzt				VVFIN		
276.847	0.1	ihr				PPER		
276.947	0.2	nach				PTKVZ		
277.147	0.9	später		++		ADJD		
278.047	0.1	auf				APPR		
278.147	0.2	einer				ART		
278.347	0.1	Brücke		setting_new;geo		NN		
278.447	20.3	Jenny		fname		NE		
298.747	0.4	schaut				VVFIN		
299.147	0.3	nachdenklich				ADJD		
299.447	0.5	aus				APPR		
299.947	0.3	Wasser		geo		NN		
301.247	0.7	Forrest		mname		NN		
301.947	0.1	betrachtet				VVFIN		
302.047	0.4	sie				PPER		
302.447	19.6	Sie				PPER		
