onset	duration	character	arousal	valence_positive	valence_negative	c_audio	c_context	c_face	c_gesture	c_narrator	c_verbal	d_other	d_self	e_admiration	e_anger/rage	e_contempt	e_disappointment	e_fear	e_fears_confirmed	e_gloating	e_gratification	e_gratitude	e_happiness	e_happy-for	e_hate	e_hope	e_love	e_pity/compassion	e_pride	e_relief	e_remorse	e_resent	e_sadness	e_satisfaction	e_shame
306.0	5.0	MAN	-0.666666666667	0.666666666667	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.333333333333	0.333333333333	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
363.0	2.0	MRSGUMP	0.0	0.0	0.666666666667	0.333333333333	0.0	0.0	0.0	0.0	0.333333333333	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
365.0	7.0	MRSGUMP	0.333333333333	0.0	1.0	0.333333333333	0.0	0.0	0.0	0.0	0.666666666667	1.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
372.0	1.0	MRSGUMP	0.0	0.333333333333	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.666666666667	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0
418.0	2.0	FORRESTVO	-0.666666666667	0.666666666667	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.333333333333	0.666666666667	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
444.0	1.0	MAN	-0.666666666667	0.0	0.666666666667	0.333333333333	0.0	0.0	0.0	0.0	0.333333333333	0.666666666667	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
479.0	17.0	MRSGUMP	0.0	0.0	0.666666666667	0.333333333333	0.0	0.0	0.0	0.0	0.333333333333	0.666666666667	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
508.0	2.0	MAN	-0.666666666667	0.666666666667	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.333333333333	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
510.0	6.0	MAN	-0.666666666667	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
515.0	1.0	MRSGUMP	-0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.333333333333	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0
576.0	1.0	MRSGUMP	-0.666666666667	0.0	0.666666666667	0.0	0.333333333333	0.0	0.0	0.0	0.333333333333	0.333333333333	0.333333333333	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0
596.0	2.0	MAN	-1.0	1.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.666666666667	0.666666666667	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
598.0	1.0	MAN	-0.666666666667	0.666666666667	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.333333333333	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
632.0	2.0	MRSGUMP	0.0	0.0	0.666666666667	0.333333333333	0.0	0.0	0.0	0.0	0.666666666667	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
634.0	3.0	MRSGUMP	-0.666666666667	0.0	0.666666666667	0.333333333333	0.0	0.0	0.0	0.0	0.666666666667	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333
645.0	7.0	ELVISPRESLEY	0.0	0.666666666667	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.333333333333	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
654.0	4.0	FORRESTVO	-0.666666666667	0.666666666667	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
658.0	8.0	FORRESTVO	-1.0	1.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.666666666667	0.333333333333	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0
666.0	3.0	FORRESTVO	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
714.0	2.0	MRSGUMP	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.666666666667	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
743.0	7.0	WOMAN	-0.666666666667	0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.333333333333	0.333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
755.0	1.0	BOY	-0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.666666666667	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
759.0	1.0	BOY	-0.666666666667	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.666666666667	0.666666666667	0.0	0.0	0.0	0.666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
