start,end,text
1.3,10.5,"Eine Computeranimation: Auf einen schroffen Berg mit schneebedeckter Flanke fliegt eine Reihe Sterne zu. Sie bilden einen Kranz um den Gipfel: 'Paramount'."
15.9,19.5,"Vor bewölktem Himmel schwebt eine grau-weiße Feder durch die Luft."
22.6,25.8,"In einer Stadt segelt sie über die Baumkronen eines Parks."
31.7,36.7,"Ein Robert-Zemeckis-Film: Tom Hanks als 'FORREST GUMP'."
40.7,61.0,"Die Feder fliegt ein paar Meter über den Wipfeln. Robin Wright als Jenny; Gary Sinise als Lieutenant Dan; Mykelti Williamson als Bubba und Sally Field als Missis Gump; Musik: Alan Silvestri; Drehbuch: Eric Roth; Nach dem gleichnamigen Roman von Winston Groom; Regie: Robert Zemeckis."
68.7,73.0,"In der Nähe eines Kirchturms sinkt die Feder vor einem weißen Gebäude langsam tiefer."
77.0,91.5,"Die Hörfilmfassung wurde produziert vom Bayerischen Rundfunk im Auftrag des Schweizer Fernsehens; Text: Koop, Michalski und Beckmann – Hörfilm e.V; Redaktion: Elmar Dosch und Bernd Benecke; Tonmischung: Herbert Glaser; Sprecher: Thomas Meinhardt."
93.0,101.0,"Die Feder trudelt zu einer Straße hinunter, Die durch den Park führt. Ein Mann bleibt kurz am Bordstein stehen. Die Feder landet sanft auf seiner Schulter."
105.6,124.9,"Der Mann überquert die Fahrbahn. Die Feder schwebt weiter über die Windschutzscheibe eines Chevrolets. Sie sinkt bis dicht über den Asphalt und fliegt unter einem Wagen hindurch, der an einer Bushaltestelle vorbeifährt. Die Feder wird wieder hochgewirbelt und trudelt zu einem Mann auf einer Wartebank. Sie landet an einem seiner abgewetzten Nike-Laufschuhe."
126.2,145.7,"Der Mann hebt sie auf und betrachtet sie. * Er ist etwa vierzig, schlank und braungebrannt und hat kleine dunkle Augen. Sein kurzes dunkles Haar mit Geheimratsecken ist über den Ohren ausrasiert. Er trägt einen hellen Anzug und ein blau kariertes Hemd. * Der Mann nimmt eine Pralinenschachtel von einem kleinen Koffer und öffnet ihn."
147.0,160.2,"Zwischen den akkurat gepackten Sachen liegen auch ein rotes Käppi und ein Tischtennisschläger. Aus dem Kofferdeckel zieht der Mann das Kinderbuch 'Curious George'. Er legt die Feder hinein, Schließt den Koffer und stellt ihn neben sich."
161.8,164.4,"Der Mann schaut mit ernstem Gesicht in Leere."
166.1,175.2,"Ein Linienbus hält. (bisschen QUIETSCHEN) Darauf eine Werbung für ein neues Automodell von 1981."
178.6,189.1,"Der Mann öffnet die Pralinenschachtel. Eine schwarze Frau in Schwesterntracht setzt sich zu ihm auf die Bank. Schnell macht der Mann die Schachtel wieder zu. Die Krankenschwester blickt in eine Zeitschrift."
194.4,199.6,"Die Schwester sieht kurz hoch, nickt und liest weiter. Forrest hält ihr die geöffnete Pralinenschachtel hin."
202.0,203.1,"Sie schüttelt den Kopf."
214.1,215.5,"Er steckt sich eine in den Mund."
217.9,219.4,"Die Schwester reagiert nicht."
221.0,223.6,"Forrest zeigt auf ihre strahlend weißen Halbschuhe."
251.6,254.7,"Interessiert sieht die Schwester von ihrem 'People'-Magazine zu ihm."
266.3,268.2,"Er kneift die Augen fest zu."
276.1,276.8,"ss Ein Arzt:"
278.2,284.7,"s Der etwa 10-jährige sitzt auf einer Liege und starrt auf seine Beine, an die Metallschienen geschnallt sind. Der dicke Arzt hebt ihn runter."
288.6,292.7,"Mit steifen Knien stakst der Junge an einer Dunkelhaarigen vorbei, die auf einem Stuhl sitzt."
295.8,298.1,"Der Arzt hat eine brennende Zigarette im Mundwinkel."
310.8,312.2,"ss Der kippt um."
321.6,324.0,"(""Und was hat der gemacht?"" Übersprechen) Ss Ein alter Film vom General, Der aussieht wie Forrest."
350.5,355.5,"s Auf einer Straße: An der Hand seiner Mutter bleibt der kleine Forrest mit einer Schiene in einem Gully-Gitter stecken."
363.6,365.5,"(""Das muss doch da raus"" [???] Übersprechen) Ss Zwei Männer vor einem Friseurladen:"
416.7,418.0,"ss Sie steuern aufs Haus zu."
425.1,427.0,"Vor der breiten Veranda bleiben sie stehen."
434.1,434.7,"ss Ein Büro:"
445.5,447.9,"ss Forrest sitzt neben der offenen Tür im Schulflur."
511.9,513.9,"Hancock mustert sie lüstern."
517.0,517.5,"Abends:"
519.1,524.0,"Forrest sitzt vor dem Haus auf einer Schaukel und blickt zu Boden. Im ersten Stock brennt Licht."
527.9,532.9,"Verschwitzt kommt Hancock aus dem Haus auf die Veranda. Dort sitzt Forrest teilnahmslos in einem Schaukelstuhl."
537.4,542.2,"Mit einem Taschentuch wischt er sich über den Hals und sieht zu Forrest. Der starrt ins Leere."
545.3,546.6,"Forrest schaut Hancock an."
550.5,555.4,"Hancock marschiert davon. * s Die Mutter sitzt mit dem Buch 'Curious George' auf dem Bett von Forrest."
578.0,580.2,"Er blickt gedankenverloren zur Zimmerdecke."
586.9,587.7,"Es ist Tag."
619.8,622.7,"Missis Gump geht neugierig zu einer geschlossenen Zimmertür."
624.2,629.5,"s Forrest schwingt mit gebeugten Knien die Hüften und hält sich an einem Besen fest. Der Gitarrist hat eine Tolle."
645.6,646.2,"Sie geht."
675.5,677.1,"s Im Fernsehen Elvis Presley."
683.8,687.0,"Er tanzt wie Forrest. Dabei schwingt er lasziv die Hüften."
690.0,693.0,"Sie geht. Forrest sieht weiter fasziniert zu Elvis."
702.4,703.4,"s An der Haltestelle."
706.2,708.5,"Die Krankenschwester sieht wieder in ihre Zeitschrift."
717.0,718.6,"An einer Straße hält ein Schulbus."
723.9,726.0,"s Die rauchende Busfahrerin sieht Forrest an."
733.2,735.5,"Forrest bleibt unschlüssig vor der Tür stehen."
743.9,747.7,"Dorothy schmunzelt. Forrest steigt etwas mühsam mit seinen Beinschienen ein."
752.0,755.7,"Er geht durch den fast voll besetzten Bus und blickt auf zwei Jungs in einer Bank."
760.5,768.5,"s Der Platz neben ihm ist leer. Forrest sieht ein Mädchen an, das neben einem anderen sitzt. Es schüttelt den Kopf. Weit hinten sitzt ein Junge allein in einer Bank"
795.5,797.6,"Ein zierliches blondes Mädchen schaut ihn an."
808.1,810.7,"Forrest setzt sich und senkt verlegen den Blick."
839.2,840.1,"s Sie gibt ihm die Hand."
848.4,849.6,"Sie laufen zu einer Eiche."
856.6,858.1,"ss Er hängt mit einer Hand am Ast."
864.3,865.7,"Er hängt kopfüber im Baum."
874.5,876.0,"s Auf dem Baum nimmt sie seine Hand."
885.8,888.3,"Auf der Wartebank blickt Forrest traurig vor sich hin."
890.0,892.5,"Die Krankenschwester sieht ungerührt in ihre Zeitschrift."
896.2,897.3,"ss Die Schwester blickt hoch."
900.2,902.8,"ss Forrest und Jenny auf einem Weg. Er kriegt einen Klumpen (STUDIO) An den Kopf."
903.8,904.8,"ss Noch ein Klumpen. Forrest kippt um."
921.8,923.3,"s Die Drei jagen an Jenny vorbei."
926.7,928.1,"Er stakst den Weg entlang."
931.3,935.3,"Forrest wird schneller. Die Jungs auf ihren Rädern holen langsam auf."
937.0,943.2,"Behindert durch die Schienen hastet Forrest weiter. In Zeitlupe: Mit seinen steifen Beinen macht er ungelenke Schritte."
946.7,952.3,"Die Verfolger treten verbissen in die Pedale. Gehetzt sieht sich Forrest zu ihnen um. Er hat eine Platzwunde an der Stirn."
953.9,962.0,"Im Laufen beginnt Forrest plötzlich, die Knie zu beugen. Die Halterungen der Schienen reißen ab; Einzelteile fliegen durch die Luft."
966.9,968.6,"Die letzten Teile fallen ab."
970.5,974.2,"Forrest starrt entschlossen nach vorn. Die Jungs fahren durch die Reste der Schienen."
979.7,980.6,"Auf der Wartebank:"
983.4,986.2,"Die Krankenschwester nickt, ohne von ihrer Zeitschrift aufzuschauen."
993.3,999.6,"Die drei Jungs stoppen. Verblüfft sehen sie dem davonrasenden Forrest nach, der eine Staubwolke hinter sich her zieht."
1001.1,1005.3,"Forrest biegt vom Weg ab und flitzt über eine große Wiese auf eine Baumreihe zu…"
1007.3,1009.8,"… und überquert eine kleine Brücke, auf der Angler sitzen."
1013.7,1024.2,"s Er rennt an Sträflingen vorbei, die den Grünstreifen am Straßenrand bearbeiten. * In Greenbow jagt er am Friseurladen vorbei und wirbelt dabei eine Zeitung hoch. Drei Männer im Laden glotzen ihm nach."
1027.3,1030.1,"Forrest rast auf ein kleines ärmliches Farm-Haus zu."
1053.0,1055.1,"s Er entdeckt Jenny, die bei einem Tabakfeld steht."
1066.7,1068.0,"s Sie zieht Forrest ins Feld."
1073.6,1075.6,"Ihr Vater stapft durch die brusthohen Pflanzen."
1077.1,1080.5,"In seiner Hand ein Flachmann. Jenny zieht Forrest in ein hohes Maisfeld."
1084.0,1086.1,"Zwischen den Pflanzen knien sich die Kinder hin."
1131.8,1132.7,"ss Die Zwei im Bett."
1146.1,1146.8,"ss Ein Klumpen trifft ihn."
1149.4,1150.4,"ss Jenny als Teenager."
1155.6,1157.9,"ss Der Werfer springt zu den zwei anderen auf einen Pickup."
1177.0,1182.0,"Der Pickup fährt dicht hinter Forrest. Der biegt wieder auf die Wiese… (JOHLEN) …der Pickup hinterher."
1191.4,1194.2,"s Er springt über einen Zaun. (SCHREI) * Auf der Wartebank:"
1201.4,1204.1,"Forrest rennt auf einer Straße; der Pickup folgt ihm."
1211.8,1215.8,"Forrest biegt ab und rast auf ein Football-Feld, auf dem ein Spiel stattfindet."
1217.5,1225.9,"s Ein Quarterback wirft einen Pass. Sein Coach sieht zu. ""NA ALSO!"" Forrest überholt den Fänger. Der guckt baff – und wird vom Gegner umgerannt."
1226.8,1229.4,"s Der Coach und seine Assistenten glotzen Forrest nach."
1242.3,1247.6,"s In einem vollen Football-Stadion. Forrest als Spieler träumt vor sich hin. Ein Mitspieler läuft mit dem Ball zu ihm."
1254.3,1256.0,"Forrest hängt mehrere Gegner ab."
1261.0,1266.2,"In einem Tribünenblock formen die Zuschauer mit roten Tafeln die Worte 'Go Alabama'. Der Coach:"
1268.5,1273.4,"ss Forrest weicht einem Gegner aus. Der stößt mit einem Mitspieler zusammen. (ZUSAMMENSTOSS) Forrest rennt zur Seitenlinie."
1274.0,1284.7,"s Er biegt Richtung Touchdown-Linie ab. Zwei Gegner hechten ihm vergeblich nach. Forrest durchquert die Touchdown-Zone mit dem Ball, rennt Musiker einer Kapelle um … (UMRENNEN) … und stürmt durch ein Stadiontor hinaus."
1292.9,1306.1,"Es ist dunkel. Im strömenden Regen sitzt Forrest vor einem Hauseingang und hält eine Pralinenschachtel auf dem Schoß. Er sieht zu einem näher kommenden Auto, das etwas entfernt parkt. Darin sitzen zwei Personen. Forrest blickt aufmerksam hin."
1312.0,1319.8,"Die beiden umarmen sich. Forrest steht auf. Die blonde Frau lehnt den Rücken an die Beifahrertür und stützt sich mit den Händen an den Scheiben ab"
1323.4,1325.0,"Entschlossen rennt Forrest hin…"
1328.1,1331.3,"… sieht durch die beschlagene Windschutzscheibe und reißt die Fahrertür auf."
1332.6,1333.8,"Er schlägt auf den Fahrer ein."
1336.4,1338.0,"Jenny steigt aus und rennt zu ihm."
1339.5,1340.2,"ss Sie zieht ihn weg."
1364.8,1365.9,"s Sie nimmt sie wütend."
1374.5,1375.2,"Er bleibt stehen."
1378.5,1379.6,"Er schaut an sich runter."
